cod_departamento_asignacion,Frequency.3,codes,spanish description,english description,comment
9.0,7270.0,1,VALENCIA HOSPITAL GENERAL,,
5.0,6898.0,16,VALENCIA - CLINICO,,
6.0,6079.0,15,VALENCIA ARNAU LLIRIA,,
2.0,5799.0,8,CASTELLON,,
10.0,5786.0,11,VALENCIA - DR. PESET,,
7.0,5723.0,4,VALENCIA - LA FE,,
11.0,5387.0,25,LA RIBERA,,
19.0,5098.0,19,ALICANTE,,
17.0,4278.0,5,ALICANTE - SAN JUAN,,
14.0,4102.0,14,XATIVA - ONTINYENT,,
23.0,4001.0,3,MANISES,,
18.0,3797.0,12,ELDA,,
3.0,3678.0,23,LA PLANA,,
22.0,3546.0,13,TORREVIEJA,,
16.0,3517.0,20,VILA JOIOSA,,
12.0,3484.0,24,GANDIA,,
13.0,3410.0,10,DENIA,,
20.0,3151.0,18,ELX,,
4.0,3148.0,9,SAGUNTO,,
24.0,3077.0,7,ELX-CREVILLENT,,
21.0,3070.0,21,ORIHUELA,,
15.0,2815.0,22,ALCOI,,
1.0,1755.0,2,VINAROS,,
8.0,1110.0,17,REQUENA,,
0.0,21.0,6,00,,
