cod_modalidad,Frequency.10,codes,spanish description,english description,comment
F-SS-1,52340.0,106,ALTA EN SS AC,,
F-SS-4,28973.0,103,ALTA EN SS PN,,
S-CS-2,8848.0,102,DESEMPL. PTE RECONOCER ASEGURAM.,,
F-M01-2,1913.0,68,MUFACE PRIVADO,,
S-N-1,1193.0,23,ACREDITACION DESCONOCIDA,,
F-SS-10,1132.0,94,ALTA EN SS PN CONVENIO INTERNACIONAL,,
S-CS-26,668.0,44,DESEMPL. PTE  ASEGURAM. UE,,
F-SS-11,617.0,107,TARJETA OTRA CCAA AC,,
F-A05-6,463.0,105,ISFAS PRIVADO,,
F-M01-1,387.0,90,MUFACE PUBLICO,,
F-EX-1,360.0,82,TARJETA SANITARIA EUROPEA - CPS AC,,
S-N-2,355.0,87,SIN COBERTURA Y PRIVADOS,,
S-DS-6,317.0,83,ALTA EN SS DISCAPACIDAD INDEFINIDA,,
F-SS-12,280.0,22,TARJETA OTRA CCAA PN,,
F-SS-17,268.0,55,EXPEDIENTE SR-AC MENOR 65,,
S-CS-8,250.0,110,DESEMPL. PTE RECONOCER ASEGURAM.,,
S-N-3,249.0,12,ACREDITACIÓN CADUCADA,,
F-SS-2,146.0,2,DOBLE COBERTURA CON MUFACE AC,,
F-M06-2,94.0,93,MUGEJU PRIVADO,,
S-CS-20,77.0,66,PROTECCION FAMILIAR BENEF.,,
S-DS-7,75.0,111,ALTA EN SS DISCAPACIDAD TEMPORAL,,
S-N-14,66.0,70,DERIVADO AL INSS,,
S-DS-26,65.0,38,PRORROGA ASIST. DISCAPACIDAD INDEFINIDA,,
S-N-11,63.0,80,DERIVADO A TRABAJADOR SOCIAL,,
F-SS-5,62.0,30,DOBLE COBERTURA CON MUFACE PN,,
S-N-15,60.0,92,EXTRANJERO A REVISAR,,
F-EX-2,58.0,40,TARJETA SANITARIA EUROPEA - CPS PN,,
F-SS-28,47.0,16,RESIDENTE EN ESPAÑA,,
F-A05-1,44.0,76,ISFAS 1 AS. TOTAL ( MENOS FARMACIA),,
S-N-8,40.0,61,Nº SS SIN PRESTACIONES,,
S-N-4,33.0,101,ACREDITACIÓN DENEGADA POR TESORERÍA,,
S-DS-14,30.0,96,MUFACE PRIVADO DISCAPACIDAD INDEFINIDA,,
F-SS-8,29.0,13,DOBLE COBERTURA ISFAS PN,,
F-M01-3,28.0,104,MUFACE PRIVADO CON AP,,
S-DS-16,27.0,54,ISFAS PRIVADO DISCAPACIDAD INDEFINIDA,,
F-M06-1,20.0,47,MUGEJU PUBLICO,,
S-DS-28,19.0,45,PRORROGA ASIST.DISCAPACIDAD TEMPORAL,,
F-SS-23,19.0,57,PERCEPTOR PRESTACION POR DESEMPLEO,,
F-SS-7,18.0,18,DOBLE COBERTURA ISFAS AC,,
F-MP-1,18.0,112,MUNPAL,,
S-CS-9,18.0,65,F.A.S.,,
S-CS-25,17.0,63,POLIZA PACIENTE PRIVADO,,
S-N-13,17.0,113,CON DOC. DE DERECHO PENDIENTE DE APORTAR,,
S-N-7,16.0,109,EXPEDIENTE EN TRAMITE,,
F-SS-19,14.0,39,AGOTADO SUBSIDIO DESEMPLEO,,
S-CS-12,13.0,25,NA EMBARAZADA EXTRANJERA,,
S-N-9,12.0,1,EXPEDIENTE DENEGADO,,
F-SS-24,12.0,26,PERCEPTOR SUBSIDIO POR DESEMPLEO,,
F-EX-5,11.0,10,"E-106, E-120, S1 (SELLADOS POR INSS)",,
F-SS-20,11.0,74,AGOTADA PRESTACION POR DESEMPLEO,,
F-A05-7,10.0,98,ISFAS PRIVADO CON AP,,
S-DS-32,8.0,5,MUFACE PUBLICO DISCAPACIDAD INDEFINIDA,,
F-SS-18,7.0,88,EXPEDIENTE SR-PN MAYOR 65,,
S-DS-38,7.0,58,ISFAS 1 DISCAPACIDAD INDEFINIDA,,
S-N-6,7.0,64,ACREDITACION DENEGADA POR ASEGURADORA,,
F-SS-25,7.0,8,PERCEPTOR RENTA DE INSERCION SOCIAL,,
F-SS-21,6.0,36,PENSION NO CONTRIBUTIVA,,
F-A05-4,1,29,ISFAS 4 AS PARCIAL ( SOLO PRIMARIA),,
S-DS-15,1,31,MUGEJU PRIVADO DISCAPACIDAD INDEFINIDA,,
S-CS-7,1,46,PROGRAMAS ESPECIALES CON APORTACION,,
S-CS-35,1,108,ATENCION SANITARIA UNIVERSAL OTROS,,
S-CS-36,1,53,ASU EN TRAMITE OTROS,,
S-CS-3,1,32,PERSONAS SIN RECURSOS - CV,,
S-CS-23,1,119,PENDIENTE APROBACION POLIZA,,
S-N-20,1,34,AFILIADO RCSE- INSTITUCIONES EUROPEAS,,
S-CS-30,1,11,PROGRAMA DE PROTECCION DE LA SALUD,,
S-DS-22,1,42,ISFAS PRIVADO DISCAPACIDAD TEMPORAL,,
F-SS-26,1,28,PERCEPTOR OTRAS PRESTACIONES,,
F-SS-9,1,91,ALTA EN SS AC CONVENIO INTERNACIONAL,,
F-A05-5,1,79,ISFASU,,
S-CS-15,1,17,SINDROME TOXICO,,
S-CS-13,1,72,EXPEDIENTE SR OTRA COMUNIDAD AC,,
S-CS-10,1,59,TARJETA SOLIDARIA,,
S-DS-47,1,100,DOBLE COBERT MUTUAL. - SS DISC INDEF.,,
S-CS-18,1,3,DECRETO OTRA COMUNIDAD AC NO EMP,,
S-DS-29,1,9,EXT. A DEMANDA DISCAPACIDAD INDEFINIDA,,
S-DS-46,1,78,ISFAS URGENCIA DISCAPACIDAD TEMPORAL,,
S-DS-34,1,20,MUFACE PUBLICO DISCAPACIDAD TEMPORAL,,
F-MUT-2,1,19,TARJETA OTRA CCAA MUTUAL.PRIVADO,,
F-SS-6,1,81,DOBLE COBERTURA CON MUGEJU PN,,
F-EX-4,1,49,CONVENIO BILATERAL PN,,
S-DS-35,1,6,MUGEJU PUBLICO DISCAPACIDAD INDEFINIDA,,
S-CS-16,1,33,EXTENSION ASISTENCIA A DEMANDA,,
S-DS-48,1,27,DOBLE COBERT. MUTUAL. -SS DISC TEMP,,
S-N-16,1,60,NA SIN RECURSOS CV,,
F-SS-29,1,21,INTERNACIONAL BENEFICIARIO TRABAJADOR,,
S-N-5,1,56,ACRED. DESCONOCIDA: YA NO ESTA EN TES,,
F-SS-22,1,97,DISCAPACITADOS LISMI,,
S-N-10,1,77,EN ESTUDIO,,
S-N-17,1,35,SOLICITUD PVPS,,
S-CS-6,1,89,PROGRAMAS ESPECIALES FARMACIA GRATUITA,,
S-DS-20,1,7,MUFACE PRIVADO DISCAPACIDAD TEMPORAL,,
S-DS-1,1,86,PTE REVISAR ASEGURAMIENTO DISC,,
S-CS-21,1,115,CONVENIO CONSELLERIA SANIDAD,,
S-CS-27,1,52,ASISTENCIA TEMPORAL,,
S-N-12,1,73,USUARIO CEE DE BAJA EN TESORERIA,,
S-CS-28,1,75,NA SOLICITANTES PROTECCION INTERNACIONAL,,
S-CS-14,1,84,EXPEDIENTE SR OTRA COMUNIDAD PN,,
F-SS-30,1,4,INTERNACIONAL BENEFICIARIO PENSIONISTA,,
S-DS-41,1,62,ISFAS 4 (AS PARCIAL) DISCAPACIDAD INDEF,,
S-DS-23,1,14,EXPEDIENTE SR DISCAPACIDAD INDEFINIDA,,
F-SS-14,1,99,TARJETA OTRA CCAA PN EN ZONA LIMITROFE,,
S-DS-44,1,48,ISFAS URGENCIA DISCAPACIDAD INDEFINIDA,,
F-SS-31,1,43,PERCEPT. RENTA INSER. SOCIAL CCAA,,
F-SS-13,1,95,TARJETA OTRA CCAA  AC EN ZONA LIMITROFE,,
S-CS-32,1,41,CONVENIO ESPECIAL,,
S-CS-22,1,67,EXT. A DEMANDA PRORROGADA,,
F-MUT-1,1,117,TARJETA OTRA CCAA MUTUAL.PUBLICO,,
C-C5-1,1,118,TELEFONICA,,
S-DS-21,1,15,MUGEJU PRIVADO DISCAPACIDAD TEMPORAL,,
S-DS-37,1,116,MUGEJU PUBLICO DISCAPACIDAD TEMPORAL,,
S-CS-1,1,24,PERSONAS SIN RECURSOS - INSS,,
F-SS-3,1,69,DOBLE COBERTURA CON MUGEJU AC,,
S-DS-25,1,114,EXPEDIENTE SR DISCAPACIDAD TEMPORAL,,
S-CS-33,1,50,ASU EN TRAMITE,,
F-EX-3,1,51,CONVENIO BILATERAL AC,,
F-M06-3,1,71,MUGEJU PRIVADO CON AP,,
S-N-18,1,85,NO PVPS,,
S-DS-40,1,37,ISFAS 1DISCAPACIDAD TEMPORAL,,
