cod_atc2,Frequency.5,codes,spanish description,english description,comment
J01,408,639,ANTIBACTERIANOS DE USO SISTEMICO,,
V01,375,674,ALERGENOS,,
N02,337,656,ANALGESICOS,,
01D,334,514,APOSITO,,
N05,271,659,PSICOLEPTICOS,,
N06,227,660,PSICOANALEPTICOS,,
S01,219,671,OFTALMOLOGICOS,,
25A,211,554,BOLSAS COLOSTOMÍA,,
D07,198,624,CORTICOIDES DERMATOLOGICOS,,
G03,180,632,HORMONAS SEXUALES Y MODULADORES DE APARATO GENITAL,,
M01,169,649,ANTIINFLAMATORIOS Y ANTIREUMATICOS,,
C09,158,616,ANTIHIPERTENSIVOS ACCION SISTEMA RENINA-ANGIOTENS.,,
B01,150,605,ANTITROMBOTICOS,,
R05,145,668,PREPARADOS PARA LA TOS Y EL RESFRIADO,,
V07,134,678,TODOS LOS DEMAS PRODUCTOS NO TERAPEUTICOS,,
25B,128,555,PRODUCTO DE ILESTOMÍA,,
R03,128,667,ANTIASMATICOS,,
L01,127,645,ANTINEOPLASICOS,,
A02,124,590,ANTIACIDOS Y ANTIULCERA PEPTICA,,
A10,124,598,ANTIDIABETICOS,,
9CP,124,574,COMPLETAS POLIMERICAS,,
06F,120,528,SONDA VESICAL,,
B03,113,607,ANTIANEMICOS,,
G04,112,633,MEDICAMENTOSOS UROLOGICOS,,
J05,110,642,ANTIVIRALES DE USO SISTEMICO,,
A11,109,599,VITAMINAS,,
D11,109,628,OTROS PREPARADOS DERMATOLOGICOS,,
B05,109,608,SUSTITUTOS DE LA SANGRE Y SOLUC. PARA PERFUSION,,
26H,107,562,APOSITOS OSTOMIA,,
N03,105,657,ANTIEPILEPTICOS,,
L04,96,648,INMUNOSUPRESORES,,
23C,89,545,ABSORBENTE INCONTINENCIA ORINA,,
D01,85,618,ANTIFUNGICOS DE USO TOPICO,,
25C,82,556,PRODUCTOS DE UROSTOMIA,,
N07,80,661,OTROS MEDICAMENTOS DE ACCION SISTEMA NERVIOSO,,
A06,74,594,LAXANTES,,
C01,73,609,TERAPIA DEL MIOCARDIO,,
A07,72,595,"ANTIDIARREICOS, ANTIINFECC./ANTINFL.INTESTINALES",,
A12,72,600,SUPLEMENTOS MINERALES,,
C08,70,615,BLOQUEANTES DE LOS CANALES DEL CALCIO,,
H02,68,635,CORTICOSTEROIDES DE USO SISTEMICO,,
D08,64,625,ANTISEPTICOS Y DESINFECTANTES,,
R01,64,665,PREPARACIONES NASALES,,
N04,64,658,MEDICAMENTOS CONTRA EL PARKINSON,,
R06,63,669,ANTIHISTAMINICOS DE USO SISTEMICO,,
V03,61,675,TODOS LOS DEMAS PRODUCTOS TERAPEUTICOS,,
M02,59,650,PRODUCTOS TOPICOS PARA DOLOR ARTICULAR Y MUSCULAR,,
C10,59,617,PREPARADOS HIPOLIPEMIANTES/ANTIATEROMATOSOS,,
A01,58,589,PREPARADOS ESTOMATOLOGICOS,,
H01,52,634,HORMONAS HIPOFISARIAS E HIPOTALAMICOS Y ANALOGOS,,
C05,51,613,VASOPROTECTORES,,
C07,50,614,BETABLOQUEANTES,,
D02,49,619,EMOLIENTES Y PROTECTORES DERMATOLOGICOS,,
D06,49,623,ANTIBIOTICOS Y QUIMIOTERAPICOS DERMATOLOGICOS,,
D10,47,627,PREPARADOS ANTI-ACNE,,
9X0,45,585,ALIMENTOS PERSONAS SANAS,,
A03,44,591,"ANTIESPASMODICOS, ANTICOLINERGICOS Y PROPULSIVOS",,
J07,44,644,VACUNAS,,
L03,41,647,INMUNOESTIMULANTES,,
L02,41,646,TERAPIA ENDOCRINA,,
C03,41,611,DIURETICOS,,
H03,40,636,TERAPIA DEL TIROIDES,,
9ES,40,575,ESPECIALES,,
J02,38,640,ANTIMICOTICOS DE USO SISTEMICO,,
M05,32,653,MEDICAMENTOS PARA TRATAMIENTOS ENFERMEDADES OSEAS,,
D05,32,622,ANTIPSORIASICOS,,
C02,32,610,ANTIHIPERTENSIVOS,,
N01,32,655,ANESTESICOS,,
9MP,31,583,MODULOS PROTEICOS,,
G02,30,631,OTROS GINECOLOGICOS,,
02B,29,516,GASA  ESTERIL,,
B02,27,606,ANTIHEMORRAGICOS,,
G01,26,630,ANTIINFECCIOSOS Y ANTISEPTICOS GINECOLOGICOS,,
19A,25,539,BRAGUERO INGUINAL,,
A16,25,604,OTROS PREPARADOS APARATO DIGESTIVO Y METABOLISMO,,
J04,24,641,ANTIMICOBACTERIANOS,,
D03,22,620,PRODUCTOS PARA TRATAMIENTO DE HERIDAS Y ULCERAS,,
D04,22,621,"ANTIPRURIGINOSOS, INCLUIDOS ANTIHISTAMINICOS",,
9ME,21,579,MODULOS ESPESANTES,,
C04,20,612,VASODILATADORES PERIFERICOS,,
03A,20,517,VENDA DE GASA,,
J06,20,643,SUEROS INMUNOLOGICOS E INMUNOGLOBULINAS,,
9X1,20,586,ALIMENTOS PARA SITUACIONES PARTICULARES,,
S02,19,672,OTOLOGICOS,,
05A,19,521,CANULA TRAQUEOTOMIA,,
P01,18,662,ANTIPROTOZOARIOS,,
9CO,15,573,COMPLETAS PEPTIDICAS,,
03B,15,518,VENDA ELASTICA,,
A04,14,592,ANTIEMETICOS Y ANTINAUSEANTES,,
M03,14,651,RELAJANTES MUSCULARES,,
R02,14,666,PREPARADOS PARA LA GARGANTA,,
23A,13,543,BOLSAS DE RECOGIDA DE ORINA,,
23B,13,544,COLECTORES,,
V04,13,676,AGENTES DIAGNOSTICOS,,
P03,12,664,"ECTOPARASITICIDAS, INCLUIDOS ESCABICIDAS",,
H05,11,638,HOMEOSTASIA DEL CALCIO,,
20A,11,540,SUSPENSORIO,,
A05,10,593,TERAPIA BILIAR Y HEPATICA,,
M04,10,652,PREPARADOS CONTRA LA GOTA,,
M09,10,654,OTROS MEDICAMENTOS PARA EL SIST.MUSCULO-ESQUELETIC,,
22A,1,542,INHALADOR,,
9ML,1,581,MODULOS LIPÍDICOS,,
44A,1,567,EMPAPADOR,,
01C,1,513,ALGODON EN ZIG-ZAG,,
