cod_atc4,Frequency.1,codes,spanish description,english description,comment
2378,1,D07XC,CORTICOSTEROIDES POTENTES+OTRAS SUSTANCIAS (DERMAT,,
2635,1,R05XA,OTROS PREPARADOS COMBINADOS PARA EL RESFRIO,,
2657,1,S01FA,ANTICOLINERGICOS (MIDRIATICOS),,
2329,1,C09BA,INHIB.ENZIMA CONVERTASA ANGIOT. ASOC. A DIURETICOS,,
2035,1,04B01,ESPARADRAPO HIPOALERGICO FLEXIBLE,,
2677,1,V04CG,TESTS DE LA SECRECION GASTRICA,,
2186,1,A02AA,COMPUESTOS DE MAGNESIO (ANTIACIDOS),,
2289,1,C01BD,ANTIARRITMICOS CLASE III,,
2497,1,L01BB,ANALOGOS DE PURINAS (ANTINEOPLASICOS),,
2452,1,J01CA,PENICILINAS DE AMPLIO ESPECTRO,,
2728,1,B05AA,SUSTITUTOS DE SANGRE Y FRACCIONES PROTEINAS PLASMA,,
2190,1,A02AH,ANTIACIDOS CON BICARBONATO SODICO,,
2203,1,A03ED,ANTIESPASMODICOS ASOCIADOS A OTRAS SUSTANCIAS,,
2637,1,R06AB,ALQUILAMINAS SUSTITUIDAS (ANTIHISTAMINICOS),,
2415,1,G03BB,DERIVADOS DEL ANDROSTANO (ANDROGENOS),,
2531,1,M04AC,PREPARADOS SIN EFECTO SOBRE METABOL. ACIDO URICO,,
2723,1,J02AB,DERIVADOS IMIDAZOLICOS (ANTIMICOTICOS SISTEMICOS),,
2068,1,22A00,INHALADOR,,
2060,1,16C00,MUÑEQUERA FERULA,,
2101,1,25A15,BOLSAS COLOST SIST DOBLE,,
2570,1,N05AH,"DIAZEPINAS, OXAZEPINAS Y TIAZEPINAS (ANTIPSICOTIC)",,
2406,1,G02BB,ANTICONCEPTIVOS INTRAVAGINALES,,
2107,1,25B07,BOLSAS ILEOST SIST DOBLE PLAC,,
2353,1,D04AB,ANESTESICOS DE USO TOPICO,,
2034,1,04B00,ESPARADRAPO HIPOALERGICO,,
2028,1,03A06,VENDA DE MALLA HIDROFILA CAMBRIC,,
2052,1,-1,[Vacio],,
2066,1,20A00,SUSPENSORIO,,
2418,1,G03DA,DERIVADOS DEL PREGNANO (PROGESTAGENOS),,
2741,1,9X023,COMPLEMENTO ALIMENTICIO DEPORTISTAS,,
2120,1,26A02,SOPORTE CINTURON OSTOMIA,,
2739,1,A11GB,VITAMINA C EN ASOCIACION,,
2350,1,D03AX,OTROS CICATRIZANTES,,
2116,1,25C07,BOLSAS UROST RES SINT ADH MIC,,
2414,1,G03BA,DERIVADOS DEL ANDROSTENO (ANDROGENOS),,
2468,1,J01GB,OTROS ANTIBACTERIANOS AMINOGLUCOSIDOS (SISTEMICOS),,
2279,1,B03XA,OTROS ANTIANEMICOS,,
2542,1,N02AJ,OPIOIDES COMBINADOS CON OTROS ANALGESICOS,,
2654,1,S01EC,INHIBIDORES DE LA ANHIDRASA CARBONICA (ANTIGLAUCOM,,
2682,1,V07AY,OTROS PRODUCTOS AUXILIARES NO TERAPEUTICOS,,
2749,1,B03AC,HIERRO TRIVALENTE PARENTERAL (ANTIANEMICOS),,
2769,1,03E00,SISTEMA DE COMPRESIÓN,,
2617,1,R03AC,AGONISTAS BETA-2-ADRENERGICOS SELECTIVOS,,
2663,1,S01KA,SUSTANCIAS VISCOELASTICAS (OFTALMICOS),,
2656,1,S01EE,ANALOGOS DE LA PROSTAGLANDINA,,
2166,1,9MPEN,MODULOS PROTEINA ENTERA,,
2167,1,9MVYM,MÓDULOS DE VITAMINAS Y MINERALES,,
2714,1,V03AH,ANTIHIPOGLUCEMIANTES,,
2761,1,9X111,ALIMENTOS USO MEDICO,,
2772,1,L02BX,OTROS ANTAGONISTAS DE HORMONAS Y SUSTANCIAS RELACIONADAS,,
2411,1,G03AB,"PROGESTAGENOS Y ESTROGENOS, COMBINAC. SECUENCIALES",,
2463,1,J01EC,SULFONAMIDAS DE ACCION INTERMEDIA (ANTIINFEC.SISTE,,
2317,1,C05CX,OTROS ESTABILIZADORES CAPILARES (VASOPROTECTORES),,
2567,1,N05AE,DERIVADOS DE INDOL (ANTIPSICOTICOS),,
2228,1,A10AE,INSULINAS Y ANALOGOS ACCION PROLONGADA PARA INYECCION,,
2021,1,01D00,APOSITO ESTERIL,,
2339,1,C10AX,OTROS REDUCTORES DEL COLESTEROL Y TRIGLICERIDOS,,
2326,1,C08DA,DERIVADOS DE FENILALQUILAMINA (BLOQ. CALCIO SELEC),,
2022,1,02A00,GASA ALGODON HIDROFILO NO ESTERIL,,
2244,1,A11GA,VITAMINA C SOLA,,
2215,1,A07AA,ANTIBIOTICOS (ANTIINFECC. INTESTINALES),,
2793,1,9X033,EDULCORANTES,,
2588,1,N06CA,ANTIDEPRESIVOS ASOCIADOS CON PSICOLEPTICOS,,
2287,1,C01BA,ANTIARRITMICOS CLASE IA,,
2470,1,J01MB,OTRAS QUINOLONAS (ANTIINFECC.SISTEMIC),,
2610,1,R01AA,"SIMPATICOMIMÉTICOS, MONODROGAS",,
2135,1,26J04,SIST COLOST CONTINENTE AADH,,
2182,1,A01AA,PREPARADOS PREVENTIVOS DE LA CARIES,,
2389,1,D10AF,ANTIINFECCIOSOS PARA TRATAMIENTO DEL ACNE,,
2595,1,N07BC,MEDICAMENTOS UTILIZADOS EN DEPENDENCIA A OPIOIDES,,
2779,1,N01AX,OTROS ANESTESICOS GENERALES,,
2625,1,R03DA,XANTINAS (ANTIASMATICOS SISTEMICOS),,
2439,1,H01CA,FACTORES DE LIBERACION DE GONADOTROPINAS,,
2694,1,V03AN,GASES MEDICINALES,,
2302,1,C03CA,SULFONAMIDAS SOLAS (DIURETICOS TECHO ALTO),,
2226,1,A10AC,INSULINAS Y ANALOGOS ACCION INTERMEDIA PARA INYECCION,,
2522,1,M01CX,OTROS ANTIREUMATICOS ESPECIFICOS,,
2747,1,C04AC,DERIVADOS DEL ACIDO NICOTINICO (VASODIL.PERIFERIC),,
2612,1,R01AC,"ANTIALERGICOS, EXCLUIDOS CORTICOSTEROIDES (NASALES",,
2201,1,A03BB,"ALCALOIDES SEMISINTETICOS BELLADONA, AMIN.CUATERN.",,
2771,1,A05AX,OTROS MEDICAMENTOS PARA LA TERAPIA BILIAR,,
2403,1,G01BA,ANTIBIOTICOS ASOC.A CORTICOIDES (GINECOLOGICOS),,
2293,1,C01EB,OTROS PREPARADOS CARDIACOS,,
2428,1,G03XC,MODULADORES SELECTIVOS DE RECEPTORES DE ESTROGENOS,,
2108,1,25B08,BOLSAS ILEOST RES SINT ADH MIC,,
2773,1,26E01,FUNDA OSTOMIA,,
2799,1,N02AD,DERIVADOS DEL BENZOMORFANO (ANALGESICOS OPIACEOS),,
2303,1,C03DA,ANTAGONISTAS DE LA ALDOSTERONA (DIURETICOS),,
2621,1,R03BB,ANTICOLINERGICOS (ANTIASMATICOS),,
2338,1,C10AC,SECUESTRANTES DE ACIDOS BILIARES (HIPOLIPEMIANTES),,
2075,1,23C00,ABSORBENTE INC ORINA,,
2260,1,A15ZZ,ESTIMULANTES DEL APETITO,,
2776,1,C07CA,BETABLOQUENTES NO SELECTIVOS ASOC.A OTROS DIURETICOS,,
2322,1,C07CB,BETABLOQUEANTES SELECTIVOS ASOC. A OTROS DIURETICOS,,
2513,1,L04AX,OTROS INMUNOSUPRESORES,,
2634,1,R05FB,OTROS ANTITUSIGENOS Y EXPECTORANTES EN ASOCIACION,,
2159,1,9LAPS,FORMULAS CON PROTEINAS DE SOJA SIN LACTOSA,,
2221,1,A07FA,MICROORGANISMOS ANTIDIARREICOS,,
2071,1,23A01,BOLSAS RECOGIDA ORINA PIERNA,,
2254,1,A12CC,MAGNESIO,,
2250,1,A12AX,CALCIO ASOCIADO A OTRAS SUSTANCIAS,,
2560,1,N04BC,AGONISTAS DOPAMINERGICOS (ANTIPARKINSONIANOS),,
2530,1,M04AB,PREPARADOS QUE AUMENTAN LA ELIMINACION ACIDO URICO,,
2128,1,26H03,APOSITOS B OSTOM RES NAT,,
2360,1,D05BX,OTROS ANTIPSORIASICOS DE USO SISTEMICO,,
2430,1,G04BD,ANTIESPASMODICOS URINARIOS,,
2782,1,A08AX,OTROS PRODUCTOS ANTIOBESIDAD,,
2534,1,M05BX,OTROS MEDICAM. CON EFECTO SOBRE LA MINERALIZACION,,
2722,1,J07AX,OTRAS VACUNAS BACTERIANAS,,
2170,1,9X022,COMPLEMENTO ALIMENTICIO PERSONAS DE EDAD,,
2212,1,A06AD,LAXANTES OSMOTICOS,,
2197,1,A03AB,"ANTICOLINERGICOS SINTETICOS, AMONIO CUATERNARIO",,
2783,1,B02AB,INHIBIDORES DE LA PROTEINASA (ANTIHEMORRAGICOS),,
2095,1,25A02,BOLSAS COLOST ADH FIL,,
2387,1,D10AD,RETINOIDES ANTI-ACNE DE USO TOPICO,,
2305,1,C03EB,ASOCIACIONES DIRETICOS ALTO TECHO+AHORRAD. POTASIO,,
2447,1,H04AA,GLUCAGON,,
2514,1,M01AB,DERIVADOS DEL ACIDO ACETICO Y SUST.RELAC.(AINES),,
2171,1,9X024,COMPLEMENTO ALIMENTICIO FANERAS,,
2526,1,M02AX,OTROS PROD.TOPICOS PARA DOLOR ARTICULAR Y MUSCULAR,,
2536,1,N01BA,ESTERES DEL ACIDO AMINOBENZOICO (ANEST. LOCALES),,
2126,1,26H01,APOSITOS B OSTOM ARO RES SINT,,
2396,1,D11AX,OTROS DERMATOLOGICOS,,
2291,1,C01DA,NITRATOS ORGANICOS (CARDIOTERAPIA),,
2440,1,H01CB,HORMONAS INHIBIDORAS DEL CRECIMIENTO,,
2352,1,D04AA,ANTIHISTAMÍNICOS PARA USO TÓPICO,,
2640,1,R06AX,OTROS ANTIHISTAMINICOS DE USO SISTEMICO,,
2140,1,48A01,PARCHES TERMICOS,,
2618,1,R03AK,ADRENERGICOS ASOCIADOS A OTROS ANTIASMATICOS,,
2798,1,N01AH,OPIOIDES ANESTESICOS,,
2144,1,9AMAA,FORMULAS EXENTAS DE FENILALANINA Y TIROSINA,,
2609,1,P03AX,"OTROS ECTOPARASITICIDAS, INCLUIDOS ESCABICIDAS",,
2121,1,26C01,FILTROS COLOSTOMIA,,
2683,1,V07ZA,LANCETAS,,
2401,1,G01AF,DERIVADOS IMIDAZOLICOS (GINECOLOGICOS),,
2515,1,M01AC,OXICAMS (AINES),,
