des_atc4,Frequency.8
EXTRACTOS DE ALERGENOS,375
APOSITO ESTERIL,334
COSMETICOS,112
BOLSAS COLOST RES SINT MIC FIL,97
DERIVADOS DEL ACIDO PROPIONICO (AINES),96
HEPARINAS,89
CORTICOSTEROIDES POTENTES-GRUPO III (DERMATOLOGIC),80
ANILINAS (ANALGESICOS),75
OTROS ANTIANEMICOS,74
DERIVADOS FENILPIPERIDINA (ANALGESICOS OPIACEOS),71
OTROS ANTIEPILEPTICOS,64
BENZODIAZEPINAS (ANSIOLITICOS),61
GLUCOCORTICODES,61
SOLUCIONES RESTAURADORAS EQUILIBRIO ELECTROLITICO,60
OTROS OFTALMOLOGICOS,59
MACROLIDOS (ANTIINFECCIOSOS SISTEMICOS),57
PROGESTAGENOS Y ESTROGENOS EN COMBINACIONES FIJAS,56
INHIB. SELECTIVOS RECAPTACION SEROTONINA (ANTIDEP),55
SONDA VESICAL BAJA FRICCION,55
OTROS DERMATOLOGICOS,54
INHIBIDORES DIRECTOS DE  LA PROTEIN-QUINASA,52
MEDICAMENTOS USADOS EN DISFUNCIONES ERECTILES,50
PENICILINAS DE AMPLIO ESPECTRO,48
OTROS ANTIPSICOTICOS,47
INHIBIDORES DE LA BOMBA DE PROTONES (ANTIULCERA),47
ALCALOIDES NATURALES DEL OPIO,46
MUCOLITICOS,46
INHIBIDORES ENZIMA CONVERTASA ANGIOTENSINA SOLOS,44
OTROS ANALGESICOS OPIACEOS,44
DERIVADOS IMIDAZOL Y TRIAZOL (ANTIFUNG.USO TOPICO),43
ALCALOIDES DEL OPIO Y DERIVADOS (ANTITUSIVOS),43
FORMULAS COMPLETAS POLIMERICAS NORMOPROTEICA HIPERCALORICAS,42
"DIAZEPINAS, OXAZEPINAS Y TIAZEPINAS (ANTIPSICOTIC)",42
FLUORQUINOLONAS (ANTIINFECCIOSOS SISTEMICOS),41
"ASOCIACIONES DE PENICILINAS, INCL. INHIB.BETALACT.",41
FORMULAS COMPLETAS ESPECIALES,40
DERIVADOS DE DIHIDROPIRIDINA (BLOQ. DEL CALCIO),39
ANTAGONISTAS ANGIOTENSINA II SOLOS,38
FORMULAS COMPLETAS POLIMERICAS HIPERPROTEICAS HIPERCALORICAS,37
AGONISTAS DOPAMINERGICOS (ANTIPARKINSONIANOS),37
BOLSAS ILEOST RES SINT MICROPORO FILTRO,37
OTROS ANTIDEPRESIVOS,36
BOLSAS COLOST SIST DOBLE PLAC C-ESP,35
BOLSAS UROST SIST DOBLE PLACA,34
CEFALOSPORINAS DE TERCERA GENERACIÓN,34
OTROS ANTIFUNGICOS DE USO TOPICO,33
APOSITOS B OSTOM ARO RES SINT MIC,33
SIMPATICOMIMETICOS ACCION CENTRAL (PSICOESTIMULANT,33
ANTIINFLAMATORIOS NO ESTEROIDEOS PARA USO TOPICO,32
GONADOTROPINAS (ESTIMULANTES OVULACION),32
MEDICAMENTOS UTILIZADOS EN DEPENDENCIA A NICOTINA,31
DERIVADOS DEL ACIDO ACETICO Y SUST.RELAC.(AINES),31
"ESTROGENOS NATURALES Y SEMISINTETICOS, SOLOS",31
INHIBIDORES DE LA AGREGACION PLAQUETARIA,31
HORMONAS TIROIDEAS,30
GLUCOCORTICOIDES (ANTIASMATICOS),30
NITRATOS ORGANICOS (CARDIOTERAPIA),29
INHIBIDORES DE LA HMG-CoA REDUCTASA (HIPOLIPEM.),29
ANTAGONISTAS ANGIOTENSINA II ASOC. A DIURETICOS,29
FORMULAS COMPLETAS POLIMERICAS NORMOPROTEICAS NORMOCALORICAS,29
DERIVADOS TRIAZOLICOS (ANTIMICOTICOS SISTEMICOS),29
OTROS PREPARADOS DE USO ORAL LOCAL,28
OTROS INMUNOSUPRESORES,28
OTROS PSICOESTIMULANTES Y NOOTROPICOS,27
OTROS PREPARADOS COMBINADOS PARA EL RESFRIO,27
INMUNOSUPRESORES SELECTIVOS,27
CEFALOSPORINAS DE SEGUNDA GENERACIÓN,26
BIFOSFONATOS (M.CON EFECTO SOBRE MINERALIZACION),26
TETRACICLINAS (ANTIINFECCIOSOS USO SISTEMICO),26
CALCIO ASOCIADO A OTRAS SUSTANCIAS,26
OTROS ANTISÉPTICOS Y DESINFECTANTES,26
GASA ESTERIL ALGODON HIDROFILO COMPRESA,26
INHIB. NO SELECTIVOS RECAPTACION MONOAMINA(ANTIDEP,26
OTROS ANTIBACTERIANOS AMINOGLUCOSIDOS (SISTEMICOS),25
BENZODIAZEPINAS (HIPNOTICOS Y SEDANTES),25
BOLSAS ILEOST SIST DOBLE PLAC C-ESP,25
ABSORBENTE INC ORINA NOC ANAT,25
BETABLOQUEANTES (ANTIGLAUCOMA),25
BOLSAS UROST SIST DOBLE PLAC C-ESP,25
LAXANTES OSMOTICOS,25
NUCLEOSIDOS/NUCLEOTIDOS EXC.INHIB.TRANSCRIP.INVERS,25
DERIVADOS DE BENZOTIAPINA (BLOQ. CALCIO),25
BOLSAS COLOST SIST DOBLE PLAC,24
OTROS FARMACOS HIPOGLUCEMIANTES EXCLUYENDO INSULINAS,24
INHIB. DE LA TRANSCRIPTASA INVERSA NUCLEOTIDOS,24
OTROS ANTIHISTAMINICOS DE USO SISTEMICO,24
APOSITOS B OSTOM ARO RES SINT,24
ANTICOLINESTERASAS (MEDICAMENTOS CONTRA DEMENCIA),23
BETABLOQUEANTES SELECTIVOS SOLOS,23
ABSORBENTE INC ORINA SUP-NOC  ANAT,23
ADRENERGICOS ASOCIADOS A OTROS ANTIASMATICOS,22
COMBINACIONES DE FÁRMACOS HIPOGLUCEMIANTES ORALES,22
AGONISTAS SELECT.RECEPT. DE LA 5HT (ANTIMIGRAÑOSOS,22
CORTICOSTEROIDES MODERAD.POTENTES-GRUPO II (DERMAT,22
SOMATROPINA Y AGONISTAS DE LA SOMATROPINA,22
INTERFERONES (INMUNOESTIMULANTES),22
ANALOGOS ACIDO FOLICO (ANTINEOPLASICOS),21
AMIDAS (ANESTESICOS LOCALES),21
MODULOS ESPESANTES,21
PROPULSIVOS,21
