sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,ADD_INFO:spanish description,matchScore,mappingStatus,conceptId,comment
EXTBACA,Ext.BACA,1,,Ext.BACA,1.1689465045928955,UNCHECKED,4172704,
ADDBACA,Add.BACA,1,,Add.BACA,1.1014063358306885,UNCHECKED,4172704,
ABD_MUHO,Abd. MUSC. Shoulder,1,,Abd. Musc. Hombro,0.9001970291137695,UNCHECKED,4172704,
SONDPREV,previous drillhole,1,,Sondaje previo,1.1236542463302612,UNCHECKED,4172704,
MOVFET,Fetal movements,1,,Movimientos Fetales,1.3498791456222534,UNCHECKED,4172704,
ADDBMCA,Add.BMCA,1,,Add.BMCA,0.9586766958236694,UNCHECKED,4172704,
FRACCADE,hip osteoporotic fracture,1,,Fractura osteoporótica cadera,1.0938448905944824,UNCHECKED,4172704,
GCPREP,preprandial blood glucose,27,,glucemia capilar prepandrial,1.1373950242996216,UNCHECKED,4172704,
FLIFMUMA,Flex. IF. MUSC. Hand,1,,Flex. IF. Musc. Mano,0.8052354454994202,UNCHECKED,4172704,
TFNOCENT,phone center,1,,Teléfono centro,1.6195743083953857,UNCHECKED,4172704,
LATIDOLU,Left lateralization. Artic. Dorsolumbar,1,,Lateralizacion Izq. Artic. Dorso-Lumbar,0.8038737773895264,UNCHECKED,4172704,
FECHIMPL,implementation date,1,,Fecha implantación,1.3383350372314453,UNCHECKED,4172704,
DETE_CO,CO in air determination exalado,1,,determinación CO en aire exalado,1.041596531867981,UNCHECKED,4172704,
FLEXMURO,Flex. MUSC. Knee,1,,Flex. Musc. Rodilla,0.9179930686950684,UNCHECKED,4172704,
SEGUJUDI,judicial follow-up,1,,Seguimiento judicial,0.7805272936820984,UNCHECKED,4147571,
ADDHMUHO,Add. Horiz. Art. Shoulder,1,,Add. Horiz. Art. Hombro,0.7563069462776184,UNCHECKED,4172704,
VOLUPROS,prostate volume,1,,Volumen prostático,1.4216563701629639,UNCHECKED,4172704,
SEMGES,Gestation week,1,,Semana Gestación,1.3614861965179443,UNCHECKED,4172704,
ROEXMUHO,Rot. Ext. Musc. Shoulder,1,,Rot. Ext. Musc. Hombro,0.8566608428955078,UNCHECKED,4172704,
CO,Carbon monoxide,1,,Monóxido de carbono,1.0,UNCHECKED,4198996,
DIFITOMA,Difficulty in making?,25,,¿Dificultad en toma?,0.608074963092804,UNCHECKED,4111689,
TARECTTA,DRE (Size),1,,Tacto rectal (Tamaño),1.3314876556396484,UNCHECKED,4172704,
DIRECENT,center address,1,,Dirección centro,1.341242790222168,UNCHECKED,4172704,
GCB-Med,Baseline mean blood glucose,1,,glucemia capilar basal media,1.0878043174743652,UNCHECKED,4172704,
PAISCENT,center country,1,,País centro,1.5124694108963013,UNCHECKED,4172704,
NOM_CENT,middle name,1,,Nombre centro,1.3804571628570557,UNCHECKED,4172704,
FLMCMUMA,Flex. Mcf. MUSC. Hand,1,,Flex. Mcf. Musc. Mano,0.7699801325798035,UNCHECKED,4172704,
OXIGE,oxygen Therapy,1,,Oxigenoterapia,1.345605731010437,UNCHECKED,4172704,
SATABA_T,TOTAL SSAA,1,,TOTAL SSAA,1.4080684185028076,UNCHECKED,4172704,
