cod_atc2,Frequency.8,codes,spanish description,english description,comment
N02,6481254.0,656,ANALGESICOS,,
M01,5263953.0,649,ANTIINFLAMATORIOS Y ANTIREUMATICOS,,
J01,4533374.0,639,ANTIBACTERIANOS DE USO SISTEMICO,,
N05,3859920.0,659,PSICOLEPTICOS,,
A02,2971329.0,590,ANTIACIDOS Y ANTIULCERA PEPTICA,,
C10,2244533.0,617,PREPARADOS HIPOLIPEMIANTES/ANTIATEROMATOSOS,,
C09,2163933.0,616,ANTIHIPERTENSIVOS ACCION SISTEMA RENINA-ANGIOTENS.,,
R03,2018538.0,667,ANTIASMATICOS,,
N06,1867787.0,660,PSICOANALEPTICOS,,
B01,1652399.0,605,ANTITROMBOTICOS,,
S01,1607714.0,671,OFTALMOLOGICOS,,
A10,1560834.0,598,ANTIDIABETICOS,,
R06,1515792.0,669,ANTIHISTAMINICOS DE USO SISTEMICO,,
D07,965343.0,624,CORTICOIDES DERMATOLOGICOS,,
R05,924961.0,668,PREPARADOS PARA LA TOS Y EL RESFRIADO,,
A03,820471.0,591,"ANTIESPASMODICOS, ANTICOLINERGICOS Y PROPULSIVOS",,
N03,815361.0,657,ANTIEPILEPTICOS,,
B03,794635.0,607,ANTIANEMICOS,,
H03,783000.0,636,TERAPIA DEL TIROIDES,,
C03,760542.0,611,DIURETICOS,,
D01,696800.0,618,ANTIFUNGICOS DE USO TOPICO,,
C07,667429.0,614,BETABLOQUEANTES,,
G04,609601.0,633,MEDICAMENTOSOS UROLOGICOS,,
H02,586620.0,635,CORTICOSTEROIDES DE USO SISTEMICO,,
A12,551418.0,600,SUPLEMENTOS MINERALES,,
C08,530849.0,615,BLOQUEANTES DE LOS CANALES DEL CALCIO,,
23C,487219.0,545,ABSORBENTE INCONTINENCIA ORINA,,
A11,487090.0,599,VITAMINAS,,
R01,468013.0,665,PREPARACIONES NASALES,,
N07,411457.0,661,OTROS MEDICAMENTOS DE ACCION SISTEMA NERVIOSO,,
A07,394822.0,595,"ANTIDIARREICOS, ANTIINFECC./ANTINFL.INTESTINALES",,
D06,392645.0,623,ANTIBIOTICOS Y QUIMIOTERAPICOS DERMATOLOGICOS,,
V04,389992.0,676,AGENTES DIAGNOSTICOS,,
M03,382799.0,651,RELAJANTES MUSCULARES,,
C01,336071.0,609,TERAPIA DEL MIOCARDIO,,
G03,323992.0,632,HORMONAS SEXUALES Y MODULADORES DE APARATO GENITAL,,
M04,294298.0,652,PREPARADOS CONTRA LA GOTA,,
M05,273789.0,653,MEDICAMENTOS PARA TRATAMIENTOS ENFERMEDADES OSEAS,,
S02,271436.0,672,OTOLOGICOS,,
G01,215758.0,630,ANTIINFECCIOSOS Y ANTISEPTICOS GINECOLOGICOS,,
01D,204380.0,514,APOSITO,,
N01,185717.0,655,ANESTESICOS,,
C05,184368.0,613,VASOPROTECTORES,,
L04,152535.0,648,INMUNOSUPRESORES,,
C02,143789.0,610,ANTIHIPERTENSIVOS,,
A06,131288.0,594,LAXANTES,,
42A,130898.0,566,AGUJA,,
N04,130846.0,658,MEDICAMENTOS CONTRA EL PARKINSON,,
J02,126133.0,640,ANTIMICOTICOS DE USO SISTEMICO,,
J05,120492.0,642,ANTIVIRALES DE USO SISTEMICO,,
L02,115832.0,646,TERAPIA ENDOCRINA,,
C04,104538.0,612,VASODILATADORES PERIFERICOS,,
A04,102120.0,592,ANTIEMETICOS Y ANTINAUSEANTES,,
02B,97353.0,516,GASA  ESTERIL,,
D05,92561.0,622,ANTIPSORIASICOS,,
M02,86239.0,650,PRODUCTOS TOPICOS PARA DOLOR ARTICULAR Y MUSCULAR,,
P01,81667.0,662,ANTIPROTOZOARIOS,,
V01,78056.0,674,ALERGENOS,,
9CP,76067.0,574,COMPLETAS POLIMERICAS,,
D11,68063.0,628,OTROS PREPARADOS DERMATOLOGICOS,,
